Player,Position,Actual_Value_EUR,Predicted_Value_EUR,Undervaluation_Amount,assists_per90,xg_net,interceptions,tackles_att_3rd,carries_into_penalty_area,League Tier
Florian Wirtz,Attacking Midfield,130000000.00000003,262839417.3934489,132839417.39344886,0.45,-0.3,6.0,5.0,35.0,2
Jamal Musiala,Attacking Midfield,119999999.99999982,217310292.9377071,97310292.93770728,0.29,2.2,15.0,9.0,28.0,2
Martin Ødegaard,Attacking Midfield,109999999.99999988,205420356.66388384,95420356.66388395,0.24,0.4,7.0,7.0,24.0,1
Enzo Millot,Attacking Midfield,29999999.999999948,65526747.1890493,35526747.189049356,0.1,0.0,13.0,10.0,12.0,2
Phil Foden,Attacking Midfield,150000000.00000015,184611385.30410224,34611385.30410209,0.27,2.5,13.0,6.0,50.0,1
Aleix García,Central Midfield,25000000.000000037,81817639.51357612,56817639.51357608,0.22,1.5,30.0,5.0,2.0,2
Exequiel Palacios,Central Midfield,45000000.00000005,73371583.33510558,28371583.33510553,0.18,1.0,28.0,5.0,2.0,2
Leon Goretzka,Central Midfield,29999999.999999948,58185113.70205446,28185113.702054515,0.33,-0.3,21.0,5.0,1.0,2
Declan Rice,Central Midfield,119999999.99999982,144375762.19306523,24375762.193065405,0.19,3.8,35.0,6.0,7.0,1
Curtis Jones,Central Midfield,35000000.00000002,54090477.132115595,19090477.132115573,0.09,-0.8,6.0,2.0,6.0,1
Florian Lejeune,Centre-Back / Baseline,3000000.0000000023,127352918.63327509,124352918.63327509,0.04,-1.0,15.0,1.0,0.0,2
William Saliba,Centre-Back / Baseline,79999999.99999993,113425447.70102455,33425447.70102462,0.04,0.5,21.0,1.0,1.0,1
Odilon Kossonou,Centre-Back / Baseline,35000000.00000002,62590286.80247638,27590286.802476354,0.0,0.4,24.0,4.0,4.0,2
Fabian Schär,Centre-Back / Baseline,10000000.000000006,37206605.93097791,27206605.930977903,0.04,0.6,25.0,1.0,1.0,1
Dan-Axel Zagadou,Centre-Back / Baseline,10000000.000000006,31862491.33770112,21862491.337701112,0.0,0.0,20.0,0.0,0.0,2
Harry Kane,Centre-Forward,100000000.00000018,257469909.59377608,157469909.5937759,0.27,5.5,6.0,4.0,11.0,2
Victor Boniface,Centre-Forward,40000000.00000003,120271166.88469735,80271166.88469732,0.49,-2.1,0.0,5.0,24.0,2
Ollie Watkins,Centre-Forward,64999999.99999989,103798216.51648399,38798216.516484104,0.36,1.7,4.0,6.0,30.0,1
Serhou Guirassy,Centre-Forward,40000000.00000003,69594533.7784067,29594533.778406665,0.06,7.5,4.0,0.0,12.0,2
Deniz Undav,Centre-Forward,25000000.000000037,43648447.29406585,18648447.29406581,0.45,2.4,5.0,8.0,12.0,2
Angelo Stiller,Defensive Midfield,19999999.999999978,70367066.47745088,50367066.4774509,0.13,-0.9,25.0,5.0,3.0,2
Granit Xhaka,Defensive Midfield,19999999.999999978,51534728.6599558,31534728.659955822,0.0,0.0,14.0,3.0,4.0,2
Atakan Karazor,Defensive Midfield,12000000.000000011,41705495.188574985,29705495.188574973,0.13,-1.0,23.0,9.0,0.0,2
Hakan Çalhanoğlu,Defensive Midfield,45000000.00000005,61218392.01831666,16218392.018316604,0.14,1.7,13.0,6.0,1.0,3
Lennard Maloney,Defensive Midfield,5000000.000000011,15145313.763344299,10145313.763344288,0.05,0.2,23.0,5.0,0.0,2
Fabian Nürnberger,Left Midfield,2500000.000000001,4037726.696059501,1537726.6960594999,0.08,0.4,13.0,0.0,6.0,2
Kevin Paredes,Left Midfield,7500000.000000012,8848473.198533444,1348473.1985334316,0.0,-0.2,19.0,4.0,8.0,2
Robert Skov,Left Midfield,5000000.000000011,5716586.022564112,716586.022564101,0.24,1.4,8.0,1.0,11.0,2
Gabriel Martinelli,Left Winger,69999999.99999993,153756745.79558316,83756745.79558323,0.21,0.4,4.0,9.0,68.0,1
Gabriel Dos Santos,Left Winger,400000.0000000002,68880171.7500293,68480171.7500293,0.0,0.7,22.0,1.0,1.0,1
Chris Führich,Left Winger,28000000.000000045,69501582.53718385,41501582.53718381,0.31,1.1,6.0,7.0,43.0,2
Jeremy Doku,Left Winger,64999999.99999989,104298010.15037954,39298010.15037965,0.38,0.6,8.0,7.0,110.0,1
Alexsandro Ribeiro,Left Winger,550000.0000000001,6907025.298155165,6357025.298155165,0.0,-1.2,29.0,0.0,1.0,4
Sávio,Left-Back,200000.00000000006,43927813.26100013,43727813.26100013,0.27,3.6,14.0,5.0,63.0,2
Alphonso Davies,Left-Back,49999999.99999999,75834635.03058474,25834635.030584745,0.18,0.6,21.0,2.0,24.0,2
David Raum,Left-Back,19999999.999999978,44789783.14137855,24789783.141378574,0.28,1.2,22.0,4.0,13.0,2
Miguel Gutiérrez,Left-Back,25000000.000000037,39626997.88921932,14626997.889219284,0.15,-1.2,18.0,4.0,12.0,2
Oleksandr Zinchenko,Left-Back,37999999.99999998,49202099.41876733,11202099.418767355,0.12,0.5,15.0,6.0,7.0,1
Junior Dina Ebimbe,Right Midfield,12000000.000000011,24411123.988697637,12411123.988697626,0.12,0.3,5.0,9.0,18.0,2
Yan Couto,Right Midfield,25000000.000000037,34586011.39584677,9586011.395846732,0.35,-0.4,6.0,5.0,33.0,2
Alexis Saelemaekers,Right Midfield,12000000.000000011,19505180.328547373,7505180.328547362,0.07,-0.6,7.0,4.0,14.0,3
Rasmus Carstensen,Right Midfield,2000000.0000000028,6529808.543241206,4529808.543241203,0.0,-0.8,20.0,4.0,3.0,2
Aron Dønnum,Right Midfield,3499999.9999999986,7348723.412981826,3848723.4129818273,0.06,-0.9,8.0,4.0,19.0,4
Bukayo Saka,Right Winger,140000000.00000012,218150258.32341388,78150258.32341376,0.32,1.5,10.0,16.0,52.0,1
Jamie Leweling,Right Winger,8999999.999999985,29738765.74961556,20738765.749615576,0.28,-1.6,1.0,5.0,15.0,2
